objid,error
587735489751023723,"HTTP Error 404: NOT FOUND. Requested (ra, dec) is outside the SDSS footprint."
587736941996016056,HTTP Error 503: Service Unavailable
588010358006939943,HTTP Error 503: Service Unavailable
587729776375103517,HTTP Error 503: Service Unavailable
587732484358799469,HTTP Error 503: Service Unavailable
587742061621805155,HTTP Error 503: Service Unavailable
588017978347618397,HTTP Error 503: Service Unavailable
588017702951125292,HTTP Error 503: Service Unavailable
587739631704604852,HTTP Error 503: Service Unavailable
587732053247197313,HTTP Error 503: Service Unavailable
587739609711247493,HTTP Error 503: Service Unavailable
587729159518486751,HTTP Error 503: Service Unavailable
588016840710553834,HTTP Error 503: Service Unavailable
587741721209340012,HTTP Error 503: Service Unavailable
587742061600964732,HTTP Error 503: Service Unavailable
587732484901896253,HTTP Error 503: Service Unavailable
587744874786259109,HTTP Error 503: Service Unavailable
587735490287173747,"HTTP Error 404: NOT FOUND. Requested (ra, dec) is outside the SDSS footprint."
