objid,class,ra,dec,ra_deg,dec_deg,nvote,p_el_debiased,p_cs_debiased,image_path,source_url
587736585514516953,elliptical,16:23:41.56,+24:07:31.8,245.9231666667,24.1255000000,60,0.825,0.13,images\elliptical\587736585514516953.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=245.9231666667&dec=24.1255000000&scale=0.396&width=256&height=256&opt=
588297863645888751,spiral,09:40:43.54,+39:17:35.7,145.1814166667,39.2932500000,26,0.047,0.953,images\spiral\588297863645888751.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=145.1814166667&dec=39.2932500000&scale=0.396&width=256&height=256&opt=
588010359624368313,uncertain,12:11:49.32,+05:23:03.5,182.9555000000,5.3843055556,26,0.837,0.125,images\uncertain\588010359624368313.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=182.9555000000&dec=5.3843055556&scale=0.396&width=256&height=256&opt=
587742573759430760,uncertain,11:22:58.36,+20:22:26.1,170.7431666667,20.3739166667,36,0.444,0.445,images\uncertain\587742573759430760.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=170.7431666667&dec=20.3739166667&scale=0.396&width=256&height=256&opt=
587738197191295196,spiral,08:14:09.72,+58:19:54.0,123.5405000000,58.3316666667,39,0.091,0.757,images\spiral\587738197191295196.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=123.5405000000&dec=58.3316666667&scale=0.396&width=256&height=256&opt=
587742061584908792,elliptical,08:23:45.82,+12:03:32.2,125.9409166667,12.0589444444,25,0.96,0.04,images\elliptical\587742061584908792.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=125.9409166667&dec=12.0589444444&scale=0.396&width=256&height=256&opt=
588017702414057660,uncertain,15:09:07.01,+08:27:44.9,227.2792083333,8.4624722222,69,0.606,0.195,images\uncertain\588017702414057660.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=227.2792083333&dec=8.4624722222&scale=0.396&width=256&height=256&opt=
587736525912277162,elliptical,14:39:38.12,+06:48:16.8,219.9088333333,6.8046666667,30,0.892,0.073,images\elliptical\587736525912277162.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=219.9088333333&dec=6.8046666667&scale=0.396&width=256&height=256&opt=
587739156583481375,uncertain,10:30:09.89,+33:22:28.1,157.5412083333,33.3744722222,29,0.65,0.278,images\uncertain\587739156583481375.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=157.5412083333&dec=33.3744722222&scale=0.396&width=256&height=256&opt=
587726016162627907,spiral,15:02:28.70,+02:39:52.8,225.6195833333,2.6646666667,60,0.037,0.928,images\spiral\587726016162627907.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=225.6195833333&dec=2.6646666667&scale=0.396&width=256&height=256&opt=
587738569773482214,elliptical,11:44:24.57,+15:02:42.4,176.1023750000,15.0451111111,46,0.935,0.065,images\elliptical\587738569773482214.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=176.1023750000&dec=15.0451111111&scale=0.396&width=256&height=256&opt=
